name	has_val	has_test	promotable	public_clone	test_total_cites	test_mean_cites	jaccard_vs_public_anchor	reason
test_submission_bold_7h_widebankH_hailmary	1	1	1	0	901	22.525000	0.839915	ok
test_submission_bold_7h_widebankH_sympareto_j955	1	1	1	0	857	21.425000	0.881299	ok
test_submission_bold_highlift_guard_guarded_core	1	1	1	0	903	22.575000	0.857912	ok
test_submission_bold_highlift_guard_guarded_core_keep_merits	1	1	1	0	905	22.625000	0.856069	ok
test_submission_bold_highlift_guard_guarded_generic_merits	1	1	1	0	909	22.725000	0.852406	ok
test_submission_bold_highlift_guard_no_art15	1	1	1	0	916	22.900000	0.846072	ok
test_submission_bold_highlift_guard_no_form_family	1	1	1	0	923	23.075000	0.839831	ok
test_submission_bold_highlift_guard_no_generic	1	1	1	0	911	22.775000	0.850587	ok
test_submission_bold_highlift_guard_no_merits	1	1	1	0	925	23.125000	0.838065	ok
test_submission_bold_highlift_pareto_j930	1	1	1	0	920	23.000000	0.842495	ok
test_submission_bold_highlift_pareto_j940	1	1	1	0	912	22.800000	0.849680	ok
test_submission_bold_highlift_pareto_j945	1	1	1	0	907	22.675000	0.854234	ok
test_submission_bold_highlift_pareto_j950	1	1	1	0	902	22.550000	0.858836	ok
test_submission_bold_highlift_sympareto_j940	1	1	1	0	912	22.800000	0.849680	ok
test_submission_bold_highlift_sympareto_j945	1	1	1	0	906	22.650000	0.855150	ok
test_submission_bold_highlift_sympareto_j950	1	1	1	0	901	22.525000	0.859763	ok
test_submission_meta_guarded_verybold_20260425	1	1	1	0	893	22.325000	0.855135	ok
test_submission_physics_math_fifteenth_order_riskopt1_core_noinherit_prop641_keepatoms	1	1	1	0	899	22.475000	0.871739	ok
test_submission_physics_math_fifteenth_order_riskopt2_core_noinherit_noprop_keepatoms	1	1	1	0	898	22.450000	0.872688	ok
test_submission_physics_math_fifteenth_order_riskopt3_core_noinherit_prop641_prune1	1	1	1	0	898	22.450000	0.872688	ok
test_submission_physics_math_fifteenth_order_riskopt4_partialcore_noinherit_prop641_keepatoms	1	1	1	0	898	22.450000	0.872688	ok
test_submission_physics_math_fifteenth_order_riskopt5_core_noinherit_noprop_prune1	1	1	1	0	897	22.425000	0.873638	ok
test_submission_physics_math_fifteenth_order_riskopt6_coreschkg67_noinherit_prop641_p20	1	1	1	0	897	22.425000	0.873638	ok
test_submission_pre_reset_consensus_highj_top3_k2	1	1	1	0	887	22.175000	0.885336	ok
test_submission_pre_reset_consensus_highj_top4_k3	1	1	1	0	883	22.075000	0.889258	ok
test_submission_pre_reset_consensus_sweep_r04_c7dc705a62	1	1	1	0	890	22.250000	0.882418	ok
test_submission_pre_reset_consensus_sweep_r07_686c1a9af0	1	1	1	0	886	22.150000	0.886313	ok
test_submission_pre_reset_consensus_sweep_r08_4653662e9e	1	1	1	0	889	22.225000	0.883388	ok
test_submission_staff_eighteenth_order_balanced_pruner_zero_net_physics_twelfth_order_replace_aggressive_balanced_form_cle	1	1	1	0	891	22.275000	0.879386	ok
vote_nonclone_private_t60	1	1	1	0	836	20.900000	0.887372	ok
vote_top16_diverse_t50	1	1	1	0	832	20.800000	0.891429	ok
vote_top16_private_t30	1	1	1	0	883	22.075000	0.929864	ok
vote_top16_uniform_t30	1	1	1	0	884	22.100000	0.930995	ok
vote_winners_private_t24	1	1	1	0	889	22.225000	0.925759	ok
widebankG_balanced	1	1	1	0	885	22.125000	0.840517	ok
widebankG_hailmary_30702	1	1	1	0	906	22.650000	0.808577	ok
widebankG_hailmary_30702_corpusclean	1	1	1	0	902	22.550000	0.811975	ok
